obs,sim,site,species,var,dataset
73.34877563,144.6956504,16,spruce,V,Old0
60.53650651,70.93073189,16,spruce,V,Old0
33.60885048,41.74907888,16,spruce,V,Old0
0.381822505,0.48648278,17,spruce,V,Old0
1.326099669,2.051190976,17,spruce,V,Old0
3.996405855,5.423595608,17,spruce,V,Old0
17.52564477,19.71992675,17,spruce,V,Old0
40.7937322,39.89304729,17,spruce,V,Old0
63.61117047,54.72078963,17,spruce,V,Old0
88.45583283,66.93958154,17,spruce,V,Old0
167.0611609,112.5940691,17,spruce,V,Old0
63.88274061,39.13186669,17,spruce,V,Old0
38.79273779,21.83182701,17,spruce,V,Old0
0.381822505,0.995551614,17,spruce,V,Old0
1.326099669,2.836481958,17,spruce,V,Old0
3.996405855,7.977900198,17,spruce,V,Old0
14.81328545,30.82348347,17,spruce,V,Old0
40.7937322,62.29345327,17,spruce,V,Old0
63.61117047,81.6410882,17,spruce,V,Old0
80.51949106,95.65598054,17,spruce,V,Old0
167.0611609,150.6758035,17,spruce,V,Old0
63.88274061,50.02392457,17,spruce,V,Old0
21.26176815,27.73084275,17,spruce,V,Old0
0.421249417,1.065587198,17,spruce,V,Old0
1.682798493,2.893051974,17,spruce,V,Old0
1.240994627,8.291633689,17,spruce,V,Old0
14.13876062,32.65558797,17,spruce,V,Old0
47.54909321,66.28191603,17,spruce,V,Old0
71.33859713,86.51023435,17,spruce,V,Old0
84.9695309,100.8214895,17,spruce,V,Old0
177.7065126,157.4426977,17,spruce,V,Old0
70.61735125,52.03877897,17,spruce,V,Old0
22.71054751,28.75885518,17,spruce,V,Old0
9.840386193,10.28542918,18,spruce,V,Old0
40.58812073,52.62719806,18,spruce,V,Old0
67.40023457,82.49963698,18,spruce,V,Old0
51.89821525,55.16717361,18,spruce,V,Old0
46.03109276,44.0684087,18,spruce,V,Old0
40.95386199,32.7236127,18,spruce,V,Old0
10.1703491,10.0969903,18,spruce,V,Old0
45.91504662,64.15252603,18,spruce,V,Old0
77.27978909,112.771833,18,spruce,V,Old0
61.30115995,73.2076136,18,spruce,V,Old0
49.7997701,56.08682085,18,spruce,V,Old0
45.95352207,39.74688751,18,spruce,V,Old0
9.60145388,9.146394377,18,spruce,V,Old0
49.00979089,65.99851382,18,spruce,V,Old0
85.57759779,131.1957126,18,spruce,V,Old0
75.0105711,84.02192581,18,spruce,V,Old0
52.26021436,62.534239,18,spruce,V,Old0
51.35834859,42.91914024,18,spruce,V,Old0
10.31933049,13.65828764,19,spruce,V,Old0
6.729650961,10.85907516,19,spruce,V,Old0
21.05824889,27.37739467,19,spruce,V,Old0
40.40543552,40.97745679,19,spruce,V,Old0
16.24606062,15.38881307,19,spruce,V,Old0
70.67577783,56.41410094,19,spruce,V,Old0
17.47594015,12.12426715,19,spruce,V,Old0
25.75450862,13.95020768,19,spruce,V,Old0
33.85685023,18.97626104,19,spruce,V,Old0
21.83359431,22.72179619,19,spruce,V,Old0
12.31045319,16.89706831,19,spruce,V,Old0
34.16954648,46.02693067,19,spruce,V,Old0
54.90179113,64.30991622,19,spruce,V,Old0
22.80442264,23.65162882,19,spruce,V,Old0
47.57475123,77.61167258,19,spruce,V,Old0
20.98862016,16.16567058,19,spruce,V,Old0
28.68623274,18.3351565,19,spruce,V,Old0
46.55289329,24.71149514,19,spruce,V,Old0
32.62914916,26.02869216,19,spruce,V,Old0
18.60221106,19.51645752,19,spruce,V,Old0
47.18575656,62.3915547,19,spruce,V,Old0
68.25931564,86.95528825,19,spruce,V,Old0
31.1002419,31.25182069,19,spruce,V,Old0
58.14495721,98.40213384,19,spruce,V,Old0
26.80639316,20.18091796,19,spruce,V,Old0
33.64476276,22.59540456,19,spruce,V,Old0
57.53685191,29.25097489,19,spruce,V,Old0
0.050355305,0.085104653,20,spruce,V,Old0
2.534238926,4.690198974,20,spruce,V,Old0
4.538981202,7.125916984,20,spruce,V,Old0
17.17854205,21.37888187,20,spruce,V,Old0
78.5944753,84.09722608,20,spruce,V,Old0
30.54607575,27.57451939,20,spruce,V,Old0
71.15402565,54.68429925,20,spruce,V,Old0
28.51573246,20.1288504,20,spruce,V,Old0
11.78628811,7.510346959,20,spruce,V,Old0
0.115451671,0.127934586,20,spruce,V,Old0
3.090604259,6.405158079,20,spruce,V,Old0
5.719046527,9.851374132,20,spruce,V,Old0
10.05455464,29.34410724,20,spruce,V,Old0
80.21056724,111.7362487,20,spruce,V,Old0
34.86931844,35.77737257,20,spruce,V,Old0
79.7223701,68.93240883,20,spruce,V,Old0
